APT_ICAO;APT_NAME;LAT;LONG
DAUG;NOUMERATE;32,38400;3,794
DAUH;OUED IRARA;31,67300;6,14
DAUI;IN SALAH;27,25100;2,512
DAUK;SIDI MAHDI;33,06800;6,089
DAUL;LAGHOUAT;33,76400;2,927
DAUT;TIMIMOUN;29,23700;0,276
DAUU;OUARGLA;31,91700;5,413
DAUZ;IN AMENAS;28,05100;9,643
DBBB;COTONOU CADJEHOUN;6,35700;2,384
DBBC;;0,00000;0
DBBD;;0,00000;0
DBBK;;0,00000;0
DBBN;;0,00000;0
DBBO;;0,00000;0
DBBP;PARAKOU;9,35700;2,609
DBBR;;0,00000;0
DBBS;;0,00000;0
DFCA;;0,00000;0
DFCB;;0,00000;0
DFCC;;0,00000;0
DFCD;;0,00000;0
DFCE;;0,00000;0
DFCG;;0,00000;0
DFCI;;0,00000;0
DFCJ;;0,00000;0
DFCK;;0,00000;0
DFCL;;0,00000;0
DFCM;;0,00000;0
DFCO;;0,00000;0
DFCP;;0,00000;0
DFCR;;0,00000;0
DFCS;;0,00000;0
DFCT;;0,00000;0
DFCU;;0,00000;0
DFCY;;0,00000;0
DFEA;;0,00000;0
DFEB;;0,00000;0
DFEC;;0,00000;0
DFED;;0,00000;0
DFEE;;0,00000;0
DFEF;;0,00000;0
DFEG;;0,00000;0
DFEK;;0,00000;0
DFEL;;0,00000;0
DFEM;;0,00000;0
DFEO;;0,00000;0
DFEP;;0,00000;0
DFER;;0,00000;0
DFES;;0,00000;0
DFET;;0,00000;0
DFEY;;0,00000;0
DFEZ;;0,00000;0
DFFD;OUAGADOUGOU;12,35300;-1,512
DFOA;;0,00000;0
DFOB;;0,00000;0
DFOD;;0,00000;0
DFOF;;0,00000;0
DFOG;;0,00000;0
DFOH;;0,00000;0
DFOL;;0,00000;0
DFON;;0,00000;0
DFOO;BOBO DIOULASSO;11,16000;-4,331
DFOR;;0,00000;0
DFOS;;0,00000;0
DFOT;;0,00000;0
DFOU;;0,00000;0
DFOY;;0,00000;0
DGAA;KOTOKA INTERNATIONAL;5,60300;-0,168
DGAD;;0,00000;0
DGAH;;0,00000;0
DGAK;;0,00000;0
DGAL;;0,00000;0
DGAS;;0,00000;0
DGAT;;0,00000;0
DGCY;;0,00000;0
DGKA;;0,00000;0
DGKK;;0,00000;0
DGLB;;0,00000;0
DGLE;TAMALE;9,56300;-0,863
DGLN;;0,00000;0
DGLW;WA;10,08200;-2,507
DGLY;;0,00000;0
DGSB;;0,00000;0
DGSN;SUNYANI;7,36200;-2,329
DGSW;;0,00000;0
DGTK;TAKORADI;4,89300;-1,775
DGTX;;0,00000;0
DIAD;;0,00000;0
DIAE;;0,00000;0
DIAO;;0,00000;0
DIAP;ABIDJAN FELIX HOUPHOUET BOIGNY INTERNATIONAL;5,26000;-3,926
DIAU;;0,00000;0
DIBC;;0,00000;0
DIBI;;0,00000;0
DIBK;BOUAKE;7,73900;-5,074
DIBN;;0,00000;0
DIBU;;0,00000;0
DIDB;;0,00000;0
DIDK;;0,00000;0
DIDL;DALOA;6,79200;-6,473
DIDV;;0,00000;0
DIFK;;0,00000;0
DIGA;;0,00000;0
DIGL;;0,00000;0
DIGN;;0,00000;0
DIKO;KORHOGO;9,38700;-5,556
DIMN;MAN;7,27200;-7,587
DIOD;;0,00000;0
DIOF;;0,00000;0
DIPG;;0,00000;0
DISG;;0,00000;0
DISP;SAN PEDRO;4,74700;-6,661
DISS;;0,00000;0
DITB;;0,00000;0
DITM;;0,00000;0
DIYO;YAMOUSSOUKRO;6,90300;-5,366
DNAA;ABUJA NNAMDI AZIKIWE INTERNATIONAL;9,00700;7,263
DNAK;AKURE;7,24700;5,301
DNBE;BENIN;6,31700;5,599
DNBI;;0,00000;0
DNCA;CALABAR;4,97600;8,347
DNEN;ENUGU;6,47400;7,562
DNGU;GUSAU;12,17200;6,696
DNIB;IBADAN;7,36200;3,978
DNIL;ILORIN;8,44000;4,494
DNJO;JOS;9,64000;8,869
DNKA;KADUNA;10,69600;7,32
DNKN;KANO MALLAM AMINU INTERNATIONAL;12,04700;8,524
DNMA;MAIDUGURI;11,85500;13,081
DNMK;MAKURDI;7,70400;8,614
DNMM;LAGOS MURTALA MUHAMMED;6,57700;3,321
DNMN;MINNA NEW;9,65200;6,462
